state_abbrev,chamber,nominate_dim1,nominate_dim2,pieces_cosponsored,num_congresses,bioname,nominate_mid_1,nominate_mid_2,dem_cosponsors,rep_cosponsors,bill_number,vote_desc,vote_result,vote,rollnumber,icpsr,party_code_1,party_code_2
SD,1,-0.25,0.143,0.07453333333333333,0.275,"JOHNSON, Timothy Peter (Tim)",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,15425,0,0
AZ,1,0.548,-0.413,0.03356,0.275,"KYL, Jon Llewellyn",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,0,3,15429,0,1
MO,1,0.31,-0.169,0.03556,0.275,"BOND, Christopher Samuel (Kit)",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,15501,0,1
ND,1,-0.296,0.582,0.044333333333333336,0.275,"CONRAD, Kent",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,15502,0,0
WI,1,-0.256,-0.406,0.0354,0.25,"KOHL, Herbert H.",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,15703,0,0
CT,1,-0.205,-0.312,0.06622666666666667,0.25,"LIEBERMAN, Joseph I.",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,15704,0,0
RI,1,-0.361,-0.16,0.06509333333333334,0.225,"REED, John F. (Jack)",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,29142,0,0
VT,1,-0.544,-0.427,0.10338666666666667,0.225,"SANDERS, Bernard",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,29147,1,1
AR,1,-0.166,0.178,0.03048,0.175,"LINCOLN, Blanche Lambert",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,29305,0,0
ID,1,0.505,0.291,0.05793333333333334,0.2,"CRAPO, Michael Dean",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,29345,0,1
NJ,1,-0.366,-0.126,0.07604,0.225,"MENENDEZ, Robert",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,29373,0,0
GA,1,0.423,0.205,0.034813333333333335,0.175,"CHAMBLISS, Saxby",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,0,3,29512,0,1
KS,1,0.439,-0.306,0.02576,0.2,"BROWNBACK, Sam Dale",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,0,3,29523,0,1
MS,1,0.377,0.34,0.05909333333333333,0.2,"WICKER, Roger F.",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,29534,0,1
NV,1,0.508,-0.464,0.020653333333333333,0.15,"ENSIGN, John Eric",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,0,3,29537,0,1
NC,1,0.435,-0.07,0.04084,0.175,"BURR, Richard M.",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,0,3,29548,0,1
OK,1,0.782,0.055,0.02556,0.125,"COBURN, Thomas Allen",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,0,3,29555,0,1
SC,1,0.367,-0.272,0.04776,0.175,"GRAHAM, Lindsey O.",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,0,3,29566,0,1
MI,1,-0.343,-0.019,0.07248,0.15,"STABENOW, Deborah Ann",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,29732,0,0
SD,1,0.432,0.227,0.0372,0.125,"THUNE, John",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,0,3,29754,0,1
CO,1,-0.353,0.049,0.03558666666666667,0.125,"UDALL, Mark",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,29906,0,0
GA,1,0.402,-0.011,0.044866666666666666,0.125,"ISAKSON, Johnny",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,0,3,29909,0,1
LA,1,0.495,0.323,0.03281333333333333,0.125,"VITTER, David",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,0,3,29918,0,1
NM,1,-0.453,0.161,0.04430666666666667,0.125,"UDALL, Thomas (Tom)",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,29924,0,0
SC,1,0.7,-0.102,0.017066666666666667,0.125,"DeMINT, James W.",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,0,3,29936,0,1
WA,1,-0.307,-0.402,0.05569333333333333,0.125,"CANTWELL, Maria E.",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,39310,0,0
NE,1,-0.03,0.588,0.015013333333333333,0.1,"NELSON, Earl Benjamin (Ben)",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,40103,0,0
NY,1,-0.367,-0.243,0.035706666666666664,0.1,"CLINTON, Hillary Rodham",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,40105,0,0
AK,1,0.203,-0.304,0.04718666666666667,0.1,"MURKOWSKI, Lisa",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,40300,0,1
AR,1,-0.199,0.463,0.019106666666666668,0.075,"PRYOR, Mark",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,40301,0,0
TN,1,0.324,-0.176,0.023453333333333333,0.075,"ALEXANDER, Lamar",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,40304,0,1
TX,1,0.47,-0.061,0.05296,0.1,"CORNYN, John",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,0,3,40305,0,1
CO,1,-0.223,0.042,0.012533333333333334,0.05,"SALAZAR, Kenneth Lee",0.312,-0.95,0.0,0.0,S22,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",Bill Passed,1,3,40500,0,0
