congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
118,Senate,41901,34,0,MO,200,,,"HAWLEY, Joshua David",H001089,1979,,0.829,-0.368,-98.30475,0.85093,609,51,,0.97,-0.244
118,Senate,42303,34,0,MO,200,,,"SCHMITT, Eric Stephen",S001227,1975,,0.91,0.069,-56.07344,0.91497,631,31,,0.944,-0.007
118,Senate,21338,64,0,MT,200,,,"DAINES, Steve",D000618,1962,,0.589,-0.024,-89.58914,0.86586,622,46,,0.63,-0.055
118,Senate,40702,64,0,MT,100,,,"TESTER, Jon",T000464,1956,,-0.213,0.153,-69.72385,0.89601,635,33,,-0.18,0.121
118,Senate,41302,35,0,NE,200,,,"FISCHER, Debra (Deb)",F000463,1951,,0.46,0.334,-61.67706,0.91013,655,18,,0.472,0.485
118,Senate,42302,35,0,NE,200,,,"RICKETTS, John Peter (Pete)",R000618,1964,,0.437,0.52,-90.81549,0.86732,638,33,,0.432,0.544
118,Senate,21743,65,0,NV,100,,,"ROSEN, Jacklyn Sheryl",R000608,1957,,-0.287,0.321,-35.26482,0.94774,657,14,,-0.313,0.431
118,Senate,41700,65,0,NV,100,,,"CORTEZ MASTO, Catherine Marie",C001113,1964,,-0.346,0.35,-17.23067,0.9738,649,5,,-0.312,0.111
118,Senate,40906,4,0,NH,100,,,"SHAHEEN, Jeanne",S001181,1947,,-0.223,-0.138,-21.94664,0.96598,634,7,,-0.367,0.213
118,Senate,41702,4,0,NH,100,,,"HASSAN, Margaret (Maggie)",H001076,1958,,-0.228,0.03,-15.48472,0.97657,653,3,,-0.282,0.082
118,Senate,21937,12,0,NJ,100,,,"KIM, Andy",K000394,1982,,-0.405,0.246,-2.67095,0.88567,22,1,,-0.484,-0.133
118,Senate,29373,12,0,NJ,100,,,"MENENDEZ, Robert",M000639,1954,,-0.366,-0.126,-46.0427,0.90706,472,17,,-0.268,-0.275
118,Senate,41308,12,0,NJ,100,,,"BOOKER, Cory Anthony",B001288,1969,,-0.556,-0.248,-34.21672,0.94689,627,18,,-0.407,-0.479
118,Senate,42306,12,0,NJ,100,,,"HELMY, George S.",H001097,1979,,-0.347,-0.308,-1.84882,0.97873,86,1,,-0.347,-0.308
