congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2,pieces_cosponsored,num_congresses
119,Senate,40906,4,0,NH,100,,,"SHAHEEN, Jeanne",S001181,1947.0,,-0.223,-0.138,-105.22837,0.83938,601,50,,-0.165,-0.174,4134,8
119,Senate,41702,4,0,NH,100,,,"HASSAN, Margaret (Maggie)",H001076,1958.0,,-0.228,0.03,-72.43256,0.88838,612,30,,-0.206,0.039,2391,4
119,Senate,21937,12,0,NJ,100,,,"KIM, Andy",K000394,1982.0,,-0.405,0.246,-62.53392,0.90376,618,37,,-0.431,0.212,1793,4
119,Senate,41308,12,0,NJ,100,,,"BOOKER, Cory Anthony",B001288,1969.0,,-0.556,-0.248,-74.13938,0.88285,595,31,,-0.467,-0.09,3966,6
119,Senate,20930,66,0,NM,100,,,"HEINRICH, Martin",H001046,1971.0,,-0.333,-0.005,-70.79699,0.88638,587,31,,-0.356,0.151,3157,8
119,Senate,20932,66,0,NM,100,,,"LUJÁN, Ben Ray",L000570,1972.0,,-0.379,0.03,-52.04876,0.91885,615,21,,-0.501,0.32,3094,8
119,Senate,14858,13,0,NY,100,,,"SCHUMER, Charles Ellis (Chuck)",S000148,1950.0,,-0.355,-0.414,-37.79974,0.94058,617,14,,-0.409,-0.261,8009,22
119,Senate,20735,13,0,NY,100,,,"GILLIBRAND, Kirsten",G000555,1966.0,,-0.45,-0.315,-89.15198,0.86403,610,47,,-0.369,0.018,5032,10
119,Senate,21708,47,0,NC,200,,,"BUDD, Theodore Paul",B001305,1971.0,,0.633,-0.076,-13.41086,0.97779,597,5,,0.67,-0.12,1880,4
119,Senate,41504,47,0,NC,200,,,"TILLIS, Thomas Roland (Thom)",T000476,1960.0,,0.389,-0.108,-23.92546,0.95705,545,8,,0.394,-0.113,2526,5
119,Senate,21350,36,0,ND,200,,,"CRAMER, Kevin",C001096,1961.0,,0.398,0.368,-5.89816,0.99022,600,2,,0.456,0.274,3213,6
119,Senate,41107,36,0,ND,200,,,"HOEVEN, John",H001061,1957.0,,0.4,0.45,-5.85763,0.99051,614,1,,0.506,0.411,1983,7
119,Senate,42304,24,0,OH,200,,,"VANCE, James David",V000137,1984.0,,0.85,-0.527,-0.0,1.0,1,0,,0.0,0.0,298,1
119,Senate,42502,24,0,OH,200,,,"MORENO, Bernardo (Bernie)",M001242,1967.0,,0.76,0.232,-5.10793,0.9918,620,2,,0.76,0.232,138,0
119,Senate,42505,24,0,OH,200,,,"HUSTED, Jon Allen",H001104,1967.0,,0.708,0.632,-5.87251,0.99047,613,2,,0.708,0.632,83,0
119,Senate,21166,53,0,OK,200,,,"LANKFORD, James",L000575,1968.0,,0.591,0.147,-6.79382,0.98907,618,5,,0.563,0.193,2301,7
