congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2,pieces_cosponsored,num_congresses
110,Senate,29936,48,0.0,SC,200,0,1,"DeMINT, James W.",D000595,1951,,0.7,-0.102,-62.35449,0.89,534,25,,0.82,-0.07,1280,4
110,Senate,15425,37,0.0,SD,100,0,1,"JOHNSON, Timothy Peter (Tim)",J000177,1946,2024.0,-0.25,0.143,-45.92208,0.859,301,22,,-0.204,0.384,5590,10
110,Senate,29754,37,0.0,SD,200,0,1,"THUNE, John",T000250,1961,,0.432,0.227,-125.81956,0.79452,547,60,,0.431,0.172,2790,4
110,Senate,40304,54,0.0,TN,200,0,1,"ALEXANDER, Lamar",A000360,1940,,0.324,-0.176,-143.67353,0.76177,528,64,,0.339,-0.192,1759,2
110,Senate,40705,54,0.0,TN,200,0,1,"CORKER, Robert (Bob)",C001071,1952,,0.395,-0.344,-186.37212,0.70858,541,89,,0.372,-0.201,798,0
110,Senate,40305,49,0.0,TX,200,0,1,"CORNYN, John",C001056,1952,,0.47,-0.061,-103.93596,0.82132,528,43,,0.487,0.058,3972,3
110,Senate,49306,49,0.0,TX,200,0,1,"HUTCHISON, Kathryn Ann Bailey (Kay)",H001016,1943,,0.356,0.012,-128.85742,0.789,543,56,,0.36,0.097,2287,7
110,Senate,14503,67,0.0,UT,200,0,1,"HATCH, Orrin Grant",H000338,1934,2022.0,0.382,-0.004,-164.08245,0.73797,540,73,,0.333,-0.008,6066,15
110,Senate,49307,67,0.0,UT,200,0,1,"BENNETT, Robert",B000382,1933,2016.0,0.331,-0.11,-159.60927,0.746,544,77,,0.351,-0.31,1426,7
110,Senate,14307,6,0.0,VT,100,0,1,"LEAHY, Patrick Joseph",L000174,1940,,-0.36,-0.121,-72.90595,0.87522,547,31,,-0.416,-0.079,7520,16
110,Senate,29147,6,0.0,VT,328,0,1,"SANDERS, Bernard",S000033,1941,,-0.544,-0.427,-72.13182,0.87646,547,36,,-0.599,0.07,7754,8
