state_abbrev,chamber,nominate_dim1,nominate_dim2,pieces_cosponsored,num_congresses,bioname,nominate_mid_1,nominate_mid_2,dem_cosponsors,rep_cosponsors,bill_number,vote_desc,vote_result,vote,rollnumber,icpsr,party_code_1,party_code_2
KS,1,0.607,0.139,0.023146666666666666,0.1,"MARSHALL, Roger Wayne",-0.232,-0.064,0.003738317757009346,0.09532710280373832,S5,"A bill to require the Secretary of Homeland Security to take into custody aliens who have been charged in the United States with theft, and for other purposes.",Bill Passed,1,7,21734,0,1
NV,1,-0.287,0.321,0.03254666666666667,0.1,"ROSEN, Jacklyn Sheryl",-0.232,-0.064,0.003738317757009346,0.09532710280373832,S5,"A bill to require the Secretary of Homeland Security to take into custody aliens who have been charged in the United States with theft, and for other purposes.",Bill Passed,1,7,21743,0,0
UT,1,0.45,0.117,0.01132,0.1,"CURTIS, John R.",-0.232,-0.064,0.003738317757009346,0.09532710280373832,S5,"A bill to require the Secretary of Homeland Security to take into custody aliens who have been charged in the United States with theft, and for other purposes.",Bill Passed,1,7,21755,0,1
NJ,1,-0.405,0.246,0.023906666666666666,0.1,"KIM, Andy",-0.232,-0.064,0.003738317757009346,0.09532710280373832,S5,"A bill to require the Secretary of Homeland Security to take into custody aliens who have been charged in the United States with theft, and for other purposes.",Bill Passed,0,7,21937,0,0
MI,1,-0.366,0.778,0.01916,0.075,"SLOTKIN, Elissa",-0.232,-0.064,0.003738317757009346,0.09532710280373832,S5,"A bill to require the Secretary of Homeland Security to take into custody aliens who have been charged in the United States with theft, and for other purposes.",Bill Passed,1,7,21965,0,0
RI,1,-0.361,-0.16,0.06509333333333334,0.425,"REED, John F. (Jack)",-0.232,-0.064,0.003738317757009346,0.09532710280373832,S5,"A bill to require the Secretary of Homeland Security to take into custody aliens who have been charged in the United States with theft, and for other purposes.",Bill Passed,0,7,29142,0,0
VT,1,-0.544,-0.427,0.10338666666666667,0.425,"SANDERS, Bernard",-0.232,-0.064,0.003738317757009346,0.09532710280373832,S5,"A bill to require the Secretary of Homeland Security to take into custody aliens who have been charged in the United States with theft, and for other purposes.",Bill Passed,0,7,29147,1,1
ID,1,0.505,0.291,0.05793333333333334,0.4,"CRAPO, Michael Dean",-0.232,-0.064,0.003738317757009346,0.09532710280373832,S5,"A bill to require the Secretary of Homeland Security to take into custody aliens who have been charged in the United States with theft, and for other purposes.",Bill Passed,1,7,29345,0,1
MS,1,0.377,0.34,0.05909333333333333,0.4,"WICKER, Roger F.",-0.232,-0.064,0.003738317757009346,0.09532710280373832,S5,"A bill to require the Secretary of Homeland Security to take into custody aliens who have been charged in the United States with theft, and for other purposes.",Bill Passed,1,7,29534,0,1
SC,1,0.367,-0.272,0.04776,0.375,"GRAHAM, Lindsey O.",-0.232,-0.064,0.003738317757009346,0.09532710280373832,S5,"A bill to require the Secretary of Homeland Security to take into custody aliens who have been charged in the United States with theft, and for other purposes.",Bill Passed,1,7,29566,0,1
KS,1,0.414,0.22,0.05044,0.35,"MORAN, Jerry",-0.232,-0.064,0.003738317757009346,0.09532710280373832,S5,"A bill to require the Secretary of Homeland Security to take into custody aliens who have been charged in the United States with theft, and for other purposes.",Bill Passed,1,7,29722,0,1
